 ti edge EuTiO3                                          Feff  6.01a  potph 4.12
 Abs   Z=22 Rmt= 1.089 Rnm= 1.378 K shell
 Pot 1 Z=63 Rmt= 1.727 Rnm= 1.814
 Pot 2 Z=22 Rmt= 1.091 Rnm= 1.386
 Pot 3 Z= 8 Rmt= 0.926 Rnm= 1.141
 Gam_ch=9.067E-01 H-L exch
 Mu=-6.373E+00 kf=2.024E+00 Vint=-2.198E+01 Rs_int= 1.792
 S02  1.000                                              Feff  6.01a ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      6.00     2   1.9895
 feff0002.dat    0.00000     17.25     24.00     3   3.3963
 feff0003.dat    0.00000     57.15      8.00     2   3.4459
 feff0004.dat    0.00000     23.36      6.00     2   3.9790
 feff0005.dat    0.00000     16.43      6.00     3   3.9790
 feff0006.dat    0.00000     63.77     12.00     3   3.9790
 feff0007.dat    0.00000     27.48      6.00     4   3.9790
 feff0008.dat    0.00000      9.80      6.00     4   3.9790
 feff0009.dat    0.00000     42.51      6.00     4   3.9790
 feff0011.dat    0.00000     25.50     48.00     3   4.1245
 feff0012.dat    0.00000     56.76     24.00     2   4.4487
   11/  11 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
    15.0000   -1.528827E-02  2.012817E-02  7.311925E+01
    15.0500   -1.923369E-02  2.076846E-02  7.344058E+01
    15.1000   -2.128913E-02  2.133587E-02  7.376123E+01
    15.1500   -2.112437E-02  2.182446E-02  7.408140E+01
    15.2000   -1.866851E-02  2.222959E-02  7.440130E+01
    15.2500   -1.412722E-02  2.254795E-02  7.472112E+01
    15.3000   -7.963978E-03  2.277761E-02  7.504104E+01
    15.3500   -8.472129E-04  2.291802E-02  7.536125E+01
    15.4000    6.429900E-03  2.296998E-02  7.568194E+01
    15.4500    1.304649E-02  2.293566E-02  7.600331E+01
    15.5000    1.825510E-02  2.281851E-02  7.632554E+01
    15.5500    2.147353E-02  2.262324E-02  7.664885E+01
    15.6000    2.235552E-02  2.235574E-02  7.697343E+01
    15.6500    2.083126E-02  2.202303E-02  7.729951E+01
    15.7000    1.711294E-02  2.163312E-02  7.762729E+01
    15.7500    1.166525E-02  2.119495E-02  7.795700E+01
    15.8000    5.145200E-03  2.071825E-02  7.828885E+01
    15.8500   -1.680231E-03  2.021338E-02  7.862304E+01
    15.9000   -8.027914E-03  1.969120E-02  7.895974E+01
    15.9500   -1.319166E-02  1.916286E-02  7.929910E+01
    16.0000   -1.662323E-02  1.863955E-02  7.964118E+01
    16.0500   -1.801992E-02  1.815671E-02  7.998778E+01
    16.1000   -1.725199E-02  1.770456E-02  8.033721E+01
    16.1500   -1.447794E-02  1.729290E-02  8.068923E+01
    16.2000   -1.008213E-02  1.693030E-02  8.104351E+01
    16.2500   -4.623652E-03  1.662367E-02  8.139956E+01
    16.3000    1.232791E-03  1.637794E-02  8.175675E+01
