      k          chi          mag           phase @#
    14.9500   -1.079523E-02  3.203250E-02  7.260037E+01
    15.0000   -2.105554E-02  3.361759E-02  7.293346E+01
    15.0500   -2.939661E-02  3.466994E-02  7.326864E+01
    15.1000   -3.423098E-02  3.511372E-02  7.360273E+01
    15.1500   -3.479494E-02  3.499253E-02  7.393375E+01
    15.2000   -3.120764E-02  3.437300E-02  7.425995E+01
    15.2500   -2.434362E-02  3.334161E-02  7.457972E+01
    15.3000   -1.552768E-02  3.200048E-02  7.489160E+01
    15.3500   -6.164675E-03  3.046174E-02  7.519444E+01
    15.4000    2.575976E-03  2.883965E-02  7.548767E+01
    15.4500    9.935336E-03  2.724031E-02  7.577157E+01
    15.5000    1.557232E-02  2.574911E-02  7.604770E+01
    15.5500    1.943897E-02  2.441784E-02  7.631904E+01
    15.6000    2.160257E-02  2.325520E-02  7.658975E+01
    15.6500    2.210383E-02  2.222499E-02  7.686456E+01
    15.7000    2.091477E-02  2.125397E-02  7.714792E+01
    15.7500    1.801113E-02  2.024722E-02  7.744344E+01
    15.8000    1.351931E-02  1.910594E-02  7.775373E+01
    15.8500    7.860807E-03  1.774283E-02  7.808083E+01
    15.9000    1.810449E-03  1.609316E-02  7.842708E+01
    15.9500   -3.586856E-03  1.412236E-02  7.879662E+01
    16.0000   -7.242979E-03  1.183399E-02  7.919847E+01
    16.0500   -8.360708E-03  9.300944E-03  7.965709E+01
    16.1000   -6.638205E-03  6.687984E-03  8.023270E+01
    16.1500   -2.565564E-03  4.638727E-03  8.109536E+01
    16.2000    2.632419E-03  4.789919E-03  8.226327E+01
    16.2500    7.256021E-03  7.311023E-03  8.312947E+01
    16.3000    9.572478E-03  1.073000E-02  8.372098E+01
    16.3500    8.322300E-03  1.439612E-02  8.420661E+01
    16.4000    3.140417E-03  1.805700E-02  8.464820E+01
    16.4500   -5.243585E-03  2.156348E-02  8.506864E+01
    16.5000   -1.510415E-02  2.480171E-02  8.547780E+01
    16.5500   -2.411002E-02  2.767669E-02  8.588050E+01
    16.6000   -2.991118E-02  3.010819E-02  8.627934E+01
    16.6500   -3.076524E-02  3.203042E-02  8.667580E+01
    16.7000   -2.602789E-02  3.339256E-02  8.707081E+01
    16.7500   -1.636582E-02  3.415952E-02  8.746497E+01
    16.8000   -3.626037E-03  3.431239E-02  8.785872E+01
    16.8500    9.608561E-03  3.384863E-02  8.825242E+01
    16.9000    2.065896E-02  3.278173E-02  8.864640E+01
    16.9500    2.741226E-02  3.114061E-02  8.904104E+01
    17.0000    2.882784E-02  2.896854E-02  8.943679E+01
    17.0500    2.524697E-02  2.642165E-02  8.983470E+01
    17.1000    1.793141E-02  2.345002E-02  9.023567E+01
    17.1500    9.016819E-03  2.012699E-02  9.064167E+01
    17.2000    8.212380E-04  1.653579E-02  9.105650E+01
    17.2500   -4.765462E-03  1.277088E-02  9.148859E+01
    17.3000   -6.747878E-03  8.948014E-03  9.196050E+01
    17.3500   -5.227059E-03  5.265757E-03  9.255568E+01
    17.4000   -1.295332E-03  2.590482E-03  9.372414E+01
    17.4500    3.332742E-03  3.873431E-03  9.528386E+01
    17.5000    6.839359E-03  6.949375E-03  9.599675E+01
    17.5500    7.822564E-03  1.002469E-02  9.649418E+01
    17.6000    5.672983E-03  1.282185E-02  9.693105E+01
    17.6500    7.122804E-04  1.524479E-02  9.734263E+01
    17.7000   -5.931738E-03  1.723959E-02  9.774063E+01
    17.7500   -1.266433E-02  1.877319E-02  9.812979E+01
    17.8000   -1.787189E-02  1.982829E-02  9.851221E+01
    17.8500   -2.034965E-02  2.040173E-02  9.888870E+01
    17.9000   -1.959311E-02  2.050373E-02  9.925932E+01
    17.9500   -1.588255E-02  2.015732E-02  9.962353E+01
    18.0000   -1.015185E-02  1.939802E-02  9.998020E+01
    18.0500   -3.669787E-03  1.828522E-02  1.003289E+02
    18.1000    2.256039E-03  1.686726E-02  1.006651E+02
    18.1500    6.664524E-03  1.521794E-02  1.009843E+02
    18.2000    9.137286E-03  1.342959E-02  1.012793E+02
    18.2500    9.831158E-03  1.162117E-02  1.015393E+02
    18.3000    9.341959E-03  9.952081E-03  1.017498E+02
    18.3500    8.453445E-03  8.635138E-03  1.018963E+02
    18.4000    7.855174E-03  7.911549E-03  1.019823E+02
    18.4500    7.916605E-03  7.927245E-03  1.020499E+02
    18.5000    8.582650E-03  8.595667E-03  1.021568E+02
    18.5500    9.415866E-03  9.662999E-03  1.023284E+02
    18.6000    9.765053E-03  1.087730E-02  1.025579E+02
    18.6500    9.002859E-03  1.205869E-02  1.028296E+02
    18.7000    6.756392E-03  1.309148E-02  1.031303E+02
    18.7500    3.059502E-03  1.390310E-02  1.034507E+02
    18.8000   -1.619077E-03  1.444932E-02  1.037848E+02
    18.8500   -6.479422E-03  1.470572E-02  1.041288E+02
    18.9000   -1.059461E-02  1.466280E-02  1.044800E+02
    18.9500   -1.315532E-02  1.432301E-02  1.048368E+02
    19.0000   -1.368454E-02  1.369869E-02  1.051979E+02
    19.0500   -1.221250E-02  1.285821E-02  1.055616E+02
    19.1000   -9.114935E-03  1.177743E-02  1.059291E+02
    19.1500   -5.148725E-03  1.048711E-02  1.063010E+02
    19.2000   -1.218846E-03  9.022693E-03  1.066787E+02
    19.2500    1.847895E-03  7.423653E-03  1.070657E+02
    19.3000    3.499468E-03  5.733916E-03  1.074706E+02
    19.3500    3.576022E-03  4.006791E-03  1.079170E+02
    19.4000    2.322418E-03  2.336707E-03  1.084956E+02
    19.4500    2.995408E-04  1.171964E-03  1.096973E+02
    19.5000   -1.775738E-03  1.888623E-03  1.111790E+02
    19.5500   -3.215984E-03  3.374624E-03  1.118344E+02
    19.6000   -3.525743E-03  4.885929E-03  1.122912E+02
    19.6500   -2.503811E-03  6.314361E-03  1.126896E+02
    19.7000   -2.675051E-04  7.627711E-03  1.130623E+02
    19.7500    2.796820E-03  8.812660E-03  1.134203E+02
    19.8000    6.134959E-03  9.865213E-03  1.137685E+02
    19.8500    9.146668E-03  1.078769E-02  1.141093E+02
    19.9000    1.129800E-02  1.158695E-02  1.144443E+02
    19.9500    1.220311E-02  1.227276E-02  1.147747E+02
    20.0000    1.166744E-02  1.285609E-02  1.151015E+02
