# Merge in e space of:
# ** C:/spectra for calibration/inasp_1.dat (inasp_1)
# ** C:/spectra for calibration/inasp_2.dat (inasp_2)
# ** C:/spectra for calibration/inasp_3.dat (inasp_3)
#------------------------
#   ee        xmu        bkg        stddev
  12052.790       0.70836600       0.71765706       0.33845198E-01
  12053.848       0.70716633       0.71691486       0.33827257E-01
  12054.909       0.70677100       0.71617105       0.33585311E-01
  12055.986       0.70609067       0.71541496       0.33868154E-01
  12057.046       0.70614867       0.71467131       0.33639935E-01
  12058.124       0.70607167       0.71391397       0.33758652E-01
  12059.202       0.70590533       0.71315699       0.33715726E-01
  12060.282       0.70591133       0.71239841       0.33452769E-01
  12061.359       0.70571700       0.71164096       0.33350486E-01
  12062.438       0.70526533       0.71088255       0.33686044E-01
  12063.535       0.70485367       0.71011114       0.33746655E-01
  12064.632       0.70415700       0.70933939       0.33672972E-01
  12065.728       0.70379100       0.70856744       0.33435138E-01
  12066.808       0.70305767       0.70780734       0.33716664E-01
  12067.923       0.70300333       0.70702142       0.33543597E-01
  12069.021       0.70252167       0.70624798       0.33460939E-01
  12070.119       0.70219267       0.70547429       0.33343204E-01
  12071.235       0.70173067       0.70468759       0.33332012E-01
  12072.352       0.70132167       0.70389992       0.33446697E-01
  12073.466       0.70155500       0.70311340       0.33301061E-01
  12074.584       0.70147367       0.70232459       0.33661327E-01
  12075.700       0.70161367       0.70153687       0.33651618E-01
  12076.835       0.70137167       0.70073541       0.33504882E-01
  12077.952       0.70155133       0.69994585       0.33534342E-01
  12079.087       0.70133433       0.69914390       0.33608987E-01
  12080.222       0.70160867       0.69834177       0.33839548E-01
  12081.358       0.70147700       0.69753862       0.33688440E-01
  12082.494       0.70148133       0.69673530       0.33772857E-01
  12083.630       0.70111767       0.69593174       0.33323157E-01
  12084.784       0.70067733       0.69511507       0.33618044E-01
  12085.938       0.70056367       0.69429753       0.33815141E-01
  12087.075       0.70044800       0.69349264       0.33567722E-01
  12088.229       0.70011400       0.69267527       0.33501601E-01
  12089.401       0.69984733       0.69184492       0.33685862E-01
  12090.557       0.69964467       0.69102574       0.33308701E-01
  12091.713       0.69947733       0.69020635       0.33584367E-01
  12092.886       0.69958233       0.68937461       0.33306005E-01
  12094.059       0.69903400       0.68854265       0.33585257E-01
  12095.233       0.69898333       0.68770976       0.33199787E-01
  12096.407       0.69821300       0.68687673       0.33103617E-01
  12097.582       0.69777700       0.68604271       0.33233378E-01
  12098.774       0.69669100       0.68519633       0.33057325E-01
  12099.950       0.69564233       0.68436132       0.32926695E-01
  12101.142       0.69463033       0.68351453       0.33084116E-01
  12102.335       0.69358767       0.68266683       0.32969275E-01
  12103.529       0.69216600       0.68181828       0.32983886E-01
  12104.722       0.69070400       0.68097025       0.33231775E-01
  12105.915       0.68887933       0.68012196       0.33352984E-01
  12107.128       0.68725933       0.67925932       0.33150011E-01
  12108.340       0.68506667       0.67839706       0.33161011E-01
  12109.535       0.68322400       0.67754692       0.33210684E-01
  12110.747       0.68107100       0.67668436       0.33009832E-01
  12111.978       0.67861333       0.67580802       0.33225846E-01
  12113.191       0.67644633       0.67494503       0.32989653E-01
  12114.406       0.67392500       0.67407995       0.32963577E-01
  12115.637       0.67169733       0.67320308       0.33050684E-01
  12116.868       0.66932033       0.67232604       0.33007712E-01
  12118.100       0.66715933       0.67144813       0.32991792E-01
  12119.332       0.66540667       0.67057012       0.32988372E-01
  12120.565       0.66311000       0.66969124       0.32932761E-01
  12121.799       0.66177933       0.66881221       0.32843665E-01
  12123.049       0.66023333       0.66792076       0.32753594E-01
  12124.301       0.65874967       0.66702781       0.32826671E-01
  12125.535       0.65718967       0.66614769       0.32591008E-01
  12126.786       0.65556900       0.66525516       0.33073775E-01
  12128.056       0.65452300       0.66434951       0.32804678E-01
  12129.309       0.65323367       0.66345535       0.32737853E-01
  12130.561       0.65182467       0.66256171       0.33030302E-01
  12131.832       0.65047433       0.66165437       0.32998189E-01
  12133.103       0.64955533       0.66074684       0.33070634E-01
  12134.375       0.64830267       0.65983926       0.33248663E-01
  12135.646       0.64778667       0.65893149       0.33359967E-01
  12136.918       0.64674600       0.65802296       0.33213090E-01
  12138.209       0.64610333       0.65710076       0.33432355E-01
  12139.481       0.64572000       0.65619202       0.33417180E-01
  12140.772       0.64525567       0.65527018       0.33305880E-01
  12142.063       0.64496700       0.65434767       0.33278499E-01
  12143.355       0.64476467       0.65342429       0.32944928E-01
  12144.646       0.64461367       0.65250224       0.33069266E-01
  12145.938       0.64446700       0.65157875       0.32818261E-01
  12147.248       0.64459933       0.65064217       0.32955868E-01
  12148.540       0.64463700       0.64971924       0.32946308E-01
  12149.852       0.64477800       0.64878116       0.32766551E-01
  12151.163       0.64462433       0.64784373       0.32543822E-01
  12152.473       0.64504233       0.64690694       0.32787114E-01
  12153.786       0.64498233       0.64596867       0.32853405E-01
  12155.115       0.64504700       0.64501813       0.32789341E-01
  12156.427       0.64524767       0.64407975       0.32765722E-01
  12157.758       0.64496333       0.64312840       0.32862648E-01
  12159.088       0.64557067       0.64217707       0.32732185E-01
  12160.420       0.64549100       0.64122428       0.32777989E-01
  12161.752       0.64533433       0.64027218       0.32713436E-01
  12163.083       0.64567200       0.63931998       0.33046513E-01
  12164.433       0.64568367       0.63835417       0.32622200E-01
  12165.765       0.64573300       0.63740201       0.32659773E-01
  12167.117       0.64529967       0.63643482       0.32528238E-01
  12168.468       0.64489633       0.63546898       0.32617240E-01
