MRCAT_XAFS V0.3 Datafile
"femag.001" created at APS Sector 10-ID on Sat Jun  9 09:54:35 2001
Ring energy= 7.00 GeV
E0= 7100.00
NUM_REGIONS= 1
SRB= 6900
SRSS= 1
SPP= 0.4
Settling time= 0

***** DATA : LN( I0/IT )    REFERENCE : LN( IT/IRef ) *****

Offsets= 0.00 11495.56 11977.89 306.44 11092.78 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
Gains= 8.00 6.00 7.00 9.00 7.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Fe K-edge 
Fe3O4 thin film
 
------------------------------------------------------------------------------------------------
   energy joerger_timer       Io       It       If     Iref 
 7288.5709  12889788 32182.5 86910 33112.5 53837.5
 7289.8802  12890612 32125 86865 32970 53792.5
 7291.2125  15468018 38697.5 104760 39587.5 64840
 7292.5453  12890035 32222.5 87337.5 32925 54055
 7293.8334  12890520 32335 87717.5 32962.5 54315
 7295.0994  12889825 32427.5 88042.5 33050 54490
 7296.4337  12890498 32437.5 88152.5 33025 54377.5
 7297.7685  12890062 32407.5 88140 32957.5 54417.5
 7299.0812  12890448 32515 88517.5 33007.5 54577.5
 7300.3717  15468445 38150 103957.5 38700 64317.5
 7301.6401  12890060 31877.5 86952.5 32320 54000
 7302.9769  12890158 32135 87745 32495 54077.5
 7304.2688  12890045 32412.5 88580 32800 54140
 7305.6293  12890340 32310 88385 32637.5 54050
 7306.9222  12890130 32212.5 88170 32610 53695
 7308.2383  12890388 32367.5 88642.5 32732.5 53555
 7309.5322  15467965 38770 106230 39347.5 64227.5
 7310.8266  12890202 32092.5 87972.5 32657.5 53117.5
 7312.1896  12890210 32180 88225 32837.5 53117.5
 7313.5077  12890085 32102.5 88040 32835 52915
 7314.8035  12890392 31827.5 87290 32690 52332.5
 7316.0998  12889965 31867.5 87422.5 32832.5 52170
 7317.3966  12890312 31780 87197.5 32837.5 51812.5
 7318.7167  15468722 37807.5 103760 39242.5 61450
 7320.06    12889848 30977.5 85027.5 32280 50682.5
 7321.4038  12890530 31657.5 86920 33070 51265
 7322.7025  12889865 32010 87915 33540 51622.5
 7324.0017  12890588 32150 88330 33730 51945
 7325.2786  12889765 32150 88385 33845 52005
 7326.6472  12890578 32112.5 88350 33777.5 51995
 7327.9479  12889768 32012.5 88135 33730 51750
 7329.2948  15468100 38547.5 106242.5 40542.5 62410
 7330.5964  12890530 32177.5 88765 33870 52062.5
 7331.9214  12890045 32385 89420 33992.5 52130
 7333.224   12890398 32150 88862.5 33695 51915
 7334.5271  12889950 31992.5 88505 33520 51722.5
 7335.8993  12890378 32080 88827.5 33540 51602.5
 7337.2034  12889978 32367.5 89710 33807.5 51867.5
 7338.5309  15468735 38932.5 108027.5 40565 61895
 7339.8131  12889960 32355 89870 33670 51415
 7341.1644  12889950 32112.5 89292.5 33347.5 50977.5
 7342.4705  12890510 31940 88907.5 33105 50650
